Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2016/01/19,55
2016/01/20,75
2016/01/21,101
2016/01/22,116
2016/01/23,104
2016/01/24,122
2016/01/25,115
2016/01/26,65
2016/01/27,93
2016/01/28,110
2016/01/29,89
2016/01/30,153
2016/01/31,103
2016/02/01,60
2016/02/02,93
2016/02/03,35
2016/02/04,17
2016/02/05,41
2016/02/06,60
2016/02/07,46
2016/02/08,18
2016/02/09,36
2016/02/10,11
2016/02/11,23
2016/02/12,37
2016/02/13,50
2016/02/14,43
2016/02/15,38
2016/02/16,25
2016/02/17,15
2016/02/18,-999
2016/02/19,45
2016/02/20,21
2016/02/21,31
2016/02/22,71
2016/02/23,83
2016/02/24,47
